,state,state_po,county,FIPS
42734,Indiana,IN,Shelby,18145
42737,Indiana,IN,Spencer,18147
42740,Indiana,IN,Starke,18149
42743,Indiana,IN,Steuben,18151
42746,Indiana,IN,Sullivan,18153
42749,Indiana,IN,Switzerland,18155
42752,Indiana,IN,Tippecanoe,18157
42755,Indiana,IN,Tipton,18159
42758,Indiana,IN,Union,18161
42761,Indiana,IN,Vanderburgh,18163
42764,Indiana,IN,Vermillion,18165
42767,Indiana,IN,Vigo,18167
42770,Indiana,IN,Wabash,18169
42773,Indiana,IN,Warren,18171
42776,Indiana,IN,Warrick,18173
42779,Indiana,IN,Washington,18175
42782,Indiana,IN,Wayne,18177
42785,Indiana,IN,Wells,18179
42788,Indiana,IN,White,18181
42791,Indiana,IN,Whitley,18183
42794,Iowa,IA,Adair,19001
42797,Iowa,IA,Adams,19003
42800,Iowa,IA,Allamakee,19005
42803,Iowa,IA,Appanoose,19007
42806,Iowa,IA,Audubon,19009
42809,Iowa,IA,Benton,19011
42812,Iowa,IA,Black Hawk,19013
42815,Iowa,IA,Boone,19015
42818,Iowa,IA,Bremer,19017
42821,Iowa,IA,Buchanan,19019
42824,Iowa,IA,Buena Vista,19021
42827,Iowa,IA,Butler,19023
42830,Iowa,IA,Calhoun,19025
42833,Iowa,IA,Carroll,19027
42836,Iowa,IA,Cass,19029
42839,Iowa,IA,Cedar,19031
42842,Iowa,IA,Cerro Gordo,19033
42845,Iowa,IA,Cherokee,19035
42848,Iowa,IA,Chickasaw,19037
42851,Iowa,IA,Clarke,19039
42854,Iowa,IA,Clay,19041
42857,Iowa,IA,Clayton,19043
42860,Iowa,IA,Clinton,19045
42863,Iowa,IA,Crawford,19047
42866,Iowa,IA,Dallas,19049
42869,Iowa,IA,Davis,19051
42872,Iowa,IA,Decatur,19053
42875,Iowa,IA,Delaware,19055
42878,Iowa,IA,Des Moines,19057
42881,Iowa,IA,Dickinson,19059
42884,Iowa,IA,Dubuque,19061
42887,Iowa,IA,Emmet,19063
42890,Iowa,IA,Fayette,19065
42893,Iowa,IA,Floyd,19067
42896,Iowa,IA,Franklin,19069
42899,Iowa,IA,Fremont,19071
42902,Iowa,IA,Greene,19073
42905,Iowa,IA,Grundy,19075
42908,Iowa,IA,Guthrie,19077
42911,Iowa,IA,Hamilton,19079
42914,Iowa,IA,Hancock,19081
42917,Iowa,IA,Hardin,19083
42920,Iowa,IA,Harrison,19085
42923,Iowa,IA,Henry,19087
42926,Iowa,IA,Howard,19089
42929,Iowa,IA,Humboldt,19091
42932,Iowa,IA,Ida,19093
42935,Iowa,IA,Iowa,19095
42938,Iowa,IA,Jackson,19097
42941,Iowa,IA,Jasper,19099
42944,Iowa,IA,Jefferson,19101
42947,Iowa,IA,Johnson,19103
42950,Iowa,IA,Jones,19105
42953,Iowa,IA,Keokuk,19107
42956,Iowa,IA,Kossuth,19109
42959,Iowa,IA,Lee,19111
42962,Iowa,IA,Linn,19113
42965,Iowa,IA,Louisa,19115
42968,Iowa,IA,Lucas,19117
42971,Iowa,IA,Lyon,19119
42974,Iowa,IA,Madison,19121
42977,Iowa,IA,Mahaska,19123
42980,Iowa,IA,Marion,19125
42983,Iowa,IA,Marshall,19127
42986,Iowa,IA,Mills,19129
42989,Iowa,IA,Mitchell,19131
42992,Iowa,IA,Monona,19133
42995,Iowa,IA,Monroe,19135
42998,Iowa,IA,Montgomery,19137
43001,Iowa,IA,Muscatine,19139
43004,Iowa,IA,O'Brien,19141
43007,Iowa,IA,Osceola,19143
43010,Iowa,IA,Page,19145
43013,Iowa,IA,Palo Alto,19147
43016,Iowa,IA,Plymouth,19149
43019,Iowa,IA,Pocahontas,19151
43022,Iowa,IA,Polk,19153
43025,Iowa,IA,Pottawattamie,19155
43028,Iowa,IA,Poweshiek,19157
43031,Iowa,IA,Ringgold,19159
43034,Iowa,IA,Sac,19161
43037,Iowa,IA,Scott,19163
43040,Iowa,IA,Shelby,19165
43043,Iowa,IA,Sioux,19167
43046,Iowa,IA,Story,19169
43049,Iowa,IA,Tama,19171
43052,Iowa,IA,Taylor,19173
43055,Iowa,IA,Union,19175
43058,Iowa,IA,Van Buren,19177
43061,Iowa,IA,Wapello,19179
43064,Iowa,IA,Warren,19181
43067,Iowa,IA,Washington,19183
43070,Iowa,IA,Wayne,19185
43073,Iowa,IA,Webster,19187
43076,Iowa,IA,Winnebago,19189
43079,Iowa,IA,Winneshiek,19191
43082,Iowa,IA,Woodbury,19193
43085,Iowa,IA,Worth,19195
43088,Iowa,IA,Wright,19197
43091,Kansas,KS,Allen,20001
43094,Kansas,KS,Anderson,20003
43097,Kansas,KS,Atchison,20005
43100,Kansas,KS,Barber,20007
43103,Kansas,KS,Barton,20009
43106,Kansas,KS,Bourbon,20011
43109,Kansas,KS,Brown,20013
43112,Kansas,KS,Butler,20015
43115,Kansas,KS,Chase,20017
43118,Kansas,KS,Chautauqua,20019
43121,Kansas,KS,Cherokee,20021
43124,Kansas,KS,Cheyenne,20023
43127,Kansas,KS,Clark,20025
43130,Kansas,KS,Clay,20027
43133,Kansas,KS,Cloud,20029
43136,Kansas,KS,Coffey,20031
43139,Kansas,KS,Comanche,20033
43142,Kansas,KS,Cowley,20035
43145,Kansas,KS,Crawford,20037
43148,Kansas,KS,Decatur,20039
43151,Kansas,KS,Dickinson,20041
43154,Kansas,KS,Doniphan,20043
43157,Kansas,KS,Douglas,20045
43160,Kansas,KS,Edwards,20047
43163,Kansas,KS,Elk,20049
43166,Kansas,KS,Ellis,20051
43169,Kansas,KS,Ellsworth,20053
43172,Kansas,KS,Finney,20055
43175,Kansas,KS,Ford,20057
43178,Kansas,KS,Franklin,20059
43181,Kansas,KS,Geary,20061
43184,Kansas,KS,Gove,20063
43187,Kansas,KS,Graham,20065
43190,Kansas,KS,Grant,20067
43193,Kansas,KS,Gray,20069
43196,Kansas,KS,Greeley,20071
43199,Kansas,KS,Greenwood,20073
43202,Kansas,KS,Hamilton,20075
43205,Kansas,KS,Harper,20077
43208,Kansas,KS,Harvey,20079
43211,Kansas,KS,Haskell,20081
43214,Kansas,KS,Hodgeman,20083
43217,Kansas,KS,Jackson,20085
43220,Kansas,KS,Jefferson,20087
43223,Kansas,KS,Jewell,20089
43226,Kansas,KS,Johnson,20091
43229,Kansas,KS,Kearny,20093
43232,Kansas,KS,Kingman,20095
43235,Kansas,KS,Kiowa,20097
43238,Kansas,KS,Labette,20099
43241,Kansas,KS,Lane,20101
43244,Kansas,KS,Leavenworth,20103
43247,Kansas,KS,Lincoln,20105
43250,Kansas,KS,Linn,20107
43253,Kansas,KS,Logan,20109
43256,Kansas,KS,Lyon,20111
43259,Kansas,KS,McPherson,20113
43262,Kansas,KS,Marion,20115
43265,Kansas,KS,Marshall,20117
43268,Kansas,KS,Meade,20119
43271,Kansas,KS,Miami,20121
43274,Kansas,KS,Mitchell,20123
43277,Kansas,KS,Montgomery,20125
43280,Kansas,KS,Morris,20127
43283,Kansas,KS,Morton,20129
43286,Kansas,KS,Nemaha,20131
43289,Kansas,KS,Neosho,20133
43292,Kansas,KS,Ness,20135
43295,Kansas,KS,Norton,20137
43298,Kansas,KS,Osage,20139
43301,Kansas,KS,Osborne,20141
43304,Kansas,KS,Ottawa,20143
43307,Kansas,KS,Pawnee,20145
43310,Kansas,KS,Phillips,20147
43313,Kansas,KS,Pottawatomie,20149
43316,Kansas,KS,Pratt,20151
43319,Kansas,KS,Rawlins,20153
43322,Kansas,KS,Reno,20155
43325,Kansas,KS,Republic,20157
43328,Kansas,KS,Rice,20159
43331,Kansas,KS,Riley,20161
43334,Kansas,KS,Rooks,20163
43337,Kansas,KS,Rush,20165
43340,Kansas,KS,Russell,20167
43343,Kansas,KS,Saline,20169
43346,Kansas,KS,Scott,20171
43349,Kansas,KS,Sedgwick,20173
43352,Kansas,KS,Seward,20175
43355,Kansas,KS,Shawnee,20177
43358,Kansas,KS,Sheridan,20179
43361,Kansas,KS,Sherman,20181
43364,Kansas,KS,Smith,20183
43367,Kansas,KS,Stafford,20185
43370,Kansas,KS,Stanton,20187
43373,Kansas,KS,Stevens,20189
43376,Kansas,KS,Sumner,20191
43379,Kansas,KS,Thomas,20193
43382,Kansas,KS,Trego,20195
43385,Kansas,KS,Wabaunsee,20197
43388,Kansas,KS,Wallace,20199
43391,Kansas,KS,Washington,20201
43394,Kansas,KS,Wichita,20203
43397,Kansas,KS,Wilson,20205
43400,Kansas,KS,Woodson,20207
43403,Kansas,KS,Wyandotte,20209
43406,Kentucky,KY,Adair,21001
43409,Kentucky,KY,Allen,21003
43412,Kentucky,KY,Anderson,21005
43415,Kentucky,KY,Ballard,21007
43418,Kentucky,KY,Barren,21009
43421,Kentucky,KY,Bath,21011
43424,Kentucky,KY,Bell,21013
43427,Kentucky,KY,Boone,21015
43430,Kentucky,KY,Bourbon,21017
43433,Kentucky,KY,Boyd,21019
43436,Kentucky,KY,Boyle,21021
43439,Kentucky,KY,Bracken,21023
43442,Kentucky,KY,Breathitt,21025
43445,Kentucky,KY,Breckinridge,21027
43448,Kentucky,KY,Bullitt,21029
43451,Kentucky,KY,Butler,21031
43454,Kentucky,KY,Caldwell,21033
43457,Kentucky,KY,Calloway,21035
43460,Kentucky,KY,Campbell,21037
43463,Kentucky,KY,Carlisle,21039
43466,Kentucky,KY,Carroll,21041
43469,Kentucky,KY,Carter,21043
43472,Kentucky,KY,Casey,21045
43475,Kentucky,KY,Christian,21047
43478,Kentucky,KY,Clark,21049
43481,Kentucky,KY,Clay,21051
43484,Kentucky,KY,Clinton,21053
43487,Kentucky,KY,Crittenden,21055
43490,Kentucky,KY,Cumberland,21057
43493,Kentucky,KY,Daviess,21059
43496,Kentucky,KY,Edmonson,21061
43499,Kentucky,KY,Elliott,21063
43502,Kentucky,KY,Estill,21065
43505,Kentucky,KY,Fayette,21067
43508,Kentucky,KY,Fleming,21069
43511,Kentucky,KY,Floyd,21071
43514,Kentucky,KY,Franklin,21073
43517,Kentucky,KY,Fulton,21075
43520,Kentucky,KY,Gallatin,21077
43523,Kentucky,KY,Garrard,21079
43526,Kentucky,KY,Grant,21081
43529,Kentucky,KY,Graves,21083
43532,Kentucky,KY,Grayson,21085
43535,Kentucky,KY,Green,21087
43538,Kentucky,KY,Greenup,21089
43541,Kentucky,KY,Hancock,21091
43544,Kentucky,KY,Hardin,21093
43547,Kentucky,KY,Harlan,21095
43550,Kentucky,KY,Harrison,21097
43553,Kentucky,KY,Hart,21099
43556,Kentucky,KY,Henderson,21101
43559,Kentucky,KY,Henry,21103
43562,Kentucky,KY,Hickman,21105
43565,Kentucky,KY,Hopkins,21107
43568,Kentucky,KY,Jackson,21109
43571,Kentucky,KY,Jefferson,21111
43574,Kentucky,KY,Jessamine,21113
43577,Kentucky,KY,Johnson,21115
43580,Kentucky,KY,Kenton,21117
43583,Kentucky,KY,Knott,21119
43586,Kentucky,KY,Knox,21121
43589,Kentucky,KY,Larue,21123
43592,Kentucky,KY,Laurel,21125
43595,Kentucky,KY,Lawrence,21127
43598,Kentucky,KY,Lee,21129
43601,Kentucky,KY,Leslie,21131
43604,Kentucky,KY,Letcher,21133
43607,Kentucky,KY,Lewis,21135
43610,Kentucky,KY,Lincoln,21137
43613,Kentucky,KY,Livingston,21139
43616,Kentucky,KY,Logan,21141
43619,Kentucky,KY,Lyon,21143
43622,Kentucky,KY,McCracken,21145
43625,Kentucky,KY,McCreary,21147
43628,Kentucky,KY,McLean,21149
43631,Kentucky,KY,Madison,21151
43634,Kentucky,KY,Magoffin,21153
43637,Kentucky,KY,Marion,21155
43640,Kentucky,KY,Marshall,21157
43643,Kentucky,KY,Martin,21159
43646,Kentucky,KY,Mason,21161
43649,Kentucky,KY,Meade,21163
43652,Kentucky,KY,Menifee,21165
43655,Kentucky,KY,Mercer,21167
43658,Kentucky,KY,Metcalfe,21169
43661,Kentucky,KY,Monroe,21171
43664,Kentucky,KY,Montgomery,21173
43667,Kentucky,KY,Morgan,21175
43670,Kentucky,KY,Muhlenberg,21177
43673,Kentucky,KY,Nelson,21179
43676,Kentucky,KY,Nicholas,21181
43679,Kentucky,KY,Ohio,21183
43682,Kentucky,KY,Oldham,21185
43685,Kentucky,KY,Owen,21187
43688,Kentucky,KY,Owsley,21189
43691,Kentucky,KY,Pendleton,21191
43694,Kentucky,KY,Perry,21193
43697,Kentucky,KY,Pike,21195
43700,Kentucky,KY,Powell,21197
43703,Kentucky,KY,Pulaski,21199
43706,Kentucky,KY,Robertson,21201
43709,Kentucky,KY,Rockcastle,21203
43712,Kentucky,KY,Rowan,21205
43715,Kentucky,KY,Russell,21207
43718,Kentucky,KY,Scott,21209
43721,Kentucky,KY,Shelby,21211
43724,Kentucky,KY,Simpson,21213
43727,Kentucky,KY,Spencer,21215
43730,Kentucky,KY,Taylor,21217
43733,Kentucky,KY,Todd,21219
43736,Kentucky,KY,Trigg,21221
43739,Kentucky,KY,Trimble,21223
43742,Kentucky,KY,Union,21225
43745,Kentucky,KY,Warren,21227
43748,Kentucky,KY,Washington,21229
43751,Kentucky,KY,Wayne,21231
43754,Kentucky,KY,Webster,21233
43757,Kentucky,KY,Whitley,21235
43760,Kentucky,KY,Wolfe,21237
43763,Kentucky,KY,Woodford,21239
43766,Louisiana,LA,Acadia,22001
43769,Louisiana,LA,Allen,22003
43772,Louisiana,LA,Ascension,22005
43775,Louisiana,LA,Assumption,22007
43778,Louisiana,LA,Avoyelles,22009
43781,Louisiana,LA,Beauregard,22011
43784,Louisiana,LA,Bienville,22013
43787,Louisiana,LA,Bossier,22015
43790,Louisiana,LA,Caddo,22017
43793,Louisiana,LA,Calcasieu,22019
43796,Louisiana,LA,Caldwell,22021
43799,Louisiana,LA,Cameron,22023
43802,Louisiana,LA,Catahoula,22025
43805,Louisiana,LA,Claiborne,22027
43808,Louisiana,LA,Concordia,22029
43811,Louisiana,LA,De Soto,22031
43814,Louisiana,LA,East Baton Rouge,22033
43817,Louisiana,LA,East Carroll,22035
43820,Louisiana,LA,East Feliciana,22037
43823,Louisiana,LA,Evangeline,22039
43826,Louisiana,LA,Franklin,22041
43829,Louisiana,LA,Grant,22043
43832,Louisiana,LA,Iberia,22045
43835,Louisiana,LA,Iberville,22047
43838,Louisiana,LA,Jackson,22049
43841,Louisiana,LA,Jefferson,22051
43844,Louisiana,LA,Jefferson Davis,22053
43847,Louisiana,LA,Lafayette,22055
43850,Louisiana,LA,Lafourche,22057
43853,Louisiana,LA,La Salle,22059
43856,Louisiana,LA,Lincoln,22061
43859,Louisiana,LA,Livingston,22063
43862,Louisiana,LA,Madison,22065
43865,Louisiana,LA,Morehouse,22067
43868,Louisiana,LA,Natchitoches,22069
43871,Louisiana,LA,Orleans,22071
43874,Louisiana,LA,Ouachita,22073
43877,Louisiana,LA,Plaquemines,22075
43880,Louisiana,LA,Pointe Coupee,22077
43883,Louisiana,LA,Rapides,22079
43886,Louisiana,LA,Red River,22081
43889,Louisiana,LA,Richland,22083
43892,Louisiana,LA,Sabine,22085
43895,Louisiana,LA,St. Bernard,22087
43898,Louisiana,LA,St. Charles,22089
43901,Louisiana,LA,St. Helena,22091
43904,Louisiana,LA,St. James,22093
43907,Louisiana,LA,St. John the Baptist,22095
43910,Louisiana,LA,St. Landry,22097
43913,Louisiana,LA,St. Martin,22099
43916,Louisiana,LA,St. Mary,22101
43919,Louisiana,LA,St. Tammany,22103
43922,Louisiana,LA,Tangipahoa,22105
43925,Louisiana,LA,Tensas,22107
43928,Louisiana,LA,Terrebonne,22109
43931,Louisiana,LA,Union,22111
43934,Louisiana,LA,Vermilion,22113
43937,Louisiana,LA,Vernon,22115
43940,Louisiana,LA,Washington,22117
43943,Louisiana,LA,Webster,22119
43946,Louisiana,LA,West Baton Rouge,22121
43949,Louisiana,LA,West Carroll,22123
43952,Louisiana,LA,West Feliciana,22125
43955,Louisiana,LA,Winn,22127
43958,Maine,ME,Androscoggin,23001
43961,Maine,ME,Aroostook,23003
43964,Maine,ME,Cumberland,23005
43967,Maine,ME,Franklin,23007
43970,Maine,ME,Hancock,23009
43973,Maine,ME,Kennebec,23011
43976,Maine,ME,Knox,23013
43979,Maine,ME,Lincoln,23015
43982,Maine,ME,Oxford,23017
43985,Maine,ME,Penobscot,23019
43988,Maine,ME,Piscataquis,23021
43991,Maine,ME,Sagadahoc,23023
43994,Maine,ME,Somerset,23025
43997,Maine,ME,Waldo,23027
44000,Maine,ME,Washington,23029
44003,Maine,ME,York,23031
44006,Maryland,MD,Allegany,24001
44009,Maryland,MD,Anne Arundel,24003
44012,Maryland,MD,Baltimore,24005
44015,Maryland,MD,Calvert,24009
44018,Maryland,MD,Caroline,24011
44021,Maryland,MD,Carroll,24013
44024,Maryland,MD,Cecil,24015
44027,Maryland,MD,Charles,24017
44030,Maryland,MD,Dorchester,24019
44033,Maryland,MD,Frederick,24021
44036,Maryland,MD,Garrett,24023
44039,Maryland,MD,Harford,24025
44042,Maryland,MD,Howard,24027
44045,Maryland,MD,Kent,24029
44048,Maryland,MD,Montgomery,24031
44051,Maryland,MD,Prince George's,24033
44054,Maryland,MD,Queen Anne's,24035
44057,Maryland,MD,St. Mary's,24037
44060,Maryland,MD,Somerset,24039
44063,Maryland,MD,Talbot,24041
44066,Maryland,MD,Washington,24043
44069,Maryland,MD,Wicomico,24045
44072,Maryland,MD,Worcester,24047
44075,Maryland,MD,Baltimore City,24510
44078,Massachusetts,MA,Barnstable,25001
44081,Massachusetts,MA,Berkshire,25003
44084,Massachusetts,MA,Bristol,25005
44087,Massachusetts,MA,Dukes,25007
44090,Massachusetts,MA,Essex,25009
44093,Massachusetts,MA,Franklin,25011
44096,Massachusetts,MA,Hampden,25013
44099,Massachusetts,MA,Hampshire,25015
44102,Massachusetts,MA,Middlesex,25017
44105,Massachusetts,MA,Nantucket,25019
44108,Massachusetts,MA,Norfolk,25021
44111,Massachusetts,MA,Plymouth,25023
44114,Massachusetts,MA,Suffolk,25025
44117,Massachusetts,MA,Worcester,25027
44120,Michigan,MI,Alcona,26001
44123,Michigan,MI,Alger,26003
44126,Michigan,MI,Allegan,26005
44129,Michigan,MI,Alpena,26007
44132,Michigan,MI,Antrim,26009
44135,Michigan,MI,Arenac,26011
44138,Michigan,MI,Baraga,26013
44141,Michigan,MI,Barry,26015
44144,Michigan,MI,Bay,26017
44147,Michigan,MI,Benzie,26019
44150,Michigan,MI,Berrien,26021
44153,Michigan,MI,Branch,26023
44156,Michigan,MI,Calhoun,26025
44159,Michigan,MI,Cass,26027
44162,Michigan,MI,Charlevoix,26029
44165,Michigan,MI,Cheboygan,26031
44168,Michigan,MI,Chippewa,26033
44171,Michigan,MI,Clare,26035
44174,Michigan,MI,Clinton,26037
44177,Michigan,MI,Crawford,26039
44180,Michigan,MI,Delta,26041
44183,Michigan,MI,Dickinson,26043
44186,Michigan,MI,Eaton,26045
44189,Michigan,MI,Emmet,26047
44192,Michigan,MI,Genesee,26049
44195,Michigan,MI,Gladwin,26051
44198,Michigan,MI,Gogebic,26053
44201,Michigan,MI,Grand Traverse,26055
44204,Michigan,MI,Gratiot,26057
44207,Michigan,MI,Hillsdale,26059
44210,Michigan,MI,Houghton,26061
44213,Michigan,MI,Huron,26063
44216,Michigan,MI,Ingham,26065
44219,Michigan,MI,Ionia,26067
44222,Michigan,MI,Iosco,26069
44225,Michigan,MI,Iron,26071
44228,Michigan,MI,Isabella,26073
44231,Michigan,MI,Jackson,26075
44234,Michigan,MI,Kalamazoo,26077
44237,Michigan,MI,Kalkaska,26079
44240,Michigan,MI,Kent,26081
44243,Michigan,MI,Keweenaw,26083
44246,Michigan,MI,Lake,26085
44249,Michigan,MI,Lapeer,26087
44252,Michigan,MI,Leelanau,26089
44255,Michigan,MI,Lenawee,26091
44258,Michigan,MI,Livingston,26093
44261,Michigan,MI,Luce,26095
44264,Michigan,MI,Mackinac,26097
44267,Michigan,MI,Macomb,26099
44270,Michigan,MI,Manistee,26101
44273,Michigan,MI,Marquette,26103
44276,Michigan,MI,Mason,26105
44279,Michigan,MI,Mecosta,26107
44282,Michigan,MI,Menominee,26109
44285,Michigan,MI,Midland,26111
44288,Michigan,MI,Missaukee,26113
44291,Michigan,MI,Monroe,26115
44294,Michigan,MI,Montcalm,26117
44297,Michigan,MI,Montmorency,26119
44300,Michigan,MI,Muskegon,26121
44303,Michigan,MI,Newaygo,26123
44306,Michigan,MI,Oakland,26125
44309,Michigan,MI,Oceana,26127
44312,Michigan,MI,Ogemaw,26129
44315,Michigan,MI,Ontonagon,26131
44318,Michigan,MI,Osceola,26133
44321,Michigan,MI,Oscoda,26135
44324,Michigan,MI,Otsego,26137
44327,Michigan,MI,Ottawa,26139
44330,Michigan,MI,Presque Isle,26141
44333,Michigan,MI,Roscommon,26143
44336,Michigan,MI,Saginaw,26145
44339,Michigan,MI,St. Clair,26147
44342,Michigan,MI,St. Joseph,26149
44345,Michigan,MI,Sanilac,26151
44348,Michigan,MI,Schoolcraft,26153
44351,Michigan,MI,Shiawassee,26155
44354,Michigan,MI,Tuscola,26157
44357,Michigan,MI,Van Buren,26159
44360,Michigan,MI,Washtenaw,26161
44363,Michigan,MI,Wayne,26163
44366,Michigan,MI,Wexford,26165
44369,Minnesota,MN,Aitkin,27001
44372,Minnesota,MN,Anoka,27003
44375,Minnesota,MN,Becker,27005
44378,Minnesota,MN,Beltrami,27007
44381,Minnesota,MN,Benton,27009
44384,Minnesota,MN,Big Stone,27011
44387,Minnesota,MN,Blue Earth,27013
44390,Minnesota,MN,Brown,27015
44393,Minnesota,MN,Carlton,27017
44396,Minnesota,MN,Carver,27019
44399,Minnesota,MN,Cass,27021
44402,Minnesota,MN,Chippewa,27023
44405,Minnesota,MN,Chisago,27025
44408,Minnesota,MN,Clay,27027
44411,Minnesota,MN,Clearwater,27029
44414,Minnesota,MN,Cook,27031
44417,Minnesota,MN,Cottonwood,27033
44420,Minnesota,MN,Crow Wing,27035
44423,Minnesota,MN,Dakota,27037
44426,Minnesota,MN,Dodge,27039
44429,Minnesota,MN,Douglas,27041
44432,Minnesota,MN,Faribault,27043
44435,Minnesota,MN,Fillmore,27045
44438,Minnesota,MN,Freeborn,27047
44441,Minnesota,MN,Goodhue,27049
44444,Minnesota,MN,Grant,27051
44447,Minnesota,MN,Hennepin,27053
44450,Minnesota,MN,Houston,27055
44453,Minnesota,MN,Hubbard,27057
44456,Minnesota,MN,Isanti,27059
44459,Minnesota,MN,Itasca,27061
44462,Minnesota,MN,Jackson,27063
44465,Minnesota,MN,Kanabec,27065
44468,Minnesota,MN,Kandiyohi,27067
44471,Minnesota,MN,Kittson,27069
44474,Minnesota,MN,Koochiching,27071
44477,Minnesota,MN,Lac Qui Parle,27073
44480,Minnesota,MN,Lake,27075
44483,Minnesota,MN,Lake of the Woods,27077
44486,Minnesota,MN,Le Sueur,27079
44489,Minnesota,MN,Lincoln,27081
44492,Minnesota,MN,Lyon,27083
44495,Minnesota,MN,McLeod,27085
44498,Minnesota,MN,Mahnomen,27087
44501,Minnesota,MN,Marshall,27089
44504,Minnesota,MN,Martin,27091
44507,Minnesota,MN,Meeker,27093
44510,Minnesota,MN,Mille Lacs,27095
44513,Minnesota,MN,Morrison,27097
44516,Minnesota,MN,Mower,27099
44519,Minnesota,MN,Murray,27101
44522,Minnesota,MN,Nicollet,27103
44525,Minnesota,MN,Nobles,27105
44528,Minnesota,MN,Norman,27107
44531,Minnesota,MN,Olmsted,27109
44534,Minnesota,MN,Otter Tail,27111
44537,Minnesota,MN,Pennington,27113
44540,Minnesota,MN,Pine,27115
44543,Minnesota,MN,Pipestone,27117
44546,Minnesota,MN,Polk,27119
44549,Minnesota,MN,Pope,27121
44552,Minnesota,MN,Ramsey,27123
44555,Minnesota,MN,Red Lake,27125
44558,Minnesota,MN,Redwood,27127
44561,Minnesota,MN,Renville,27129
44564,Minnesota,MN,Rice,27131
44567,Minnesota,MN,Rock,27133
44570,Minnesota,MN,Roseau,27135
44573,Minnesota,MN,Saint Louis,27137
44576,Minnesota,MN,Scott,27139
44579,Minnesota,MN,Sherburne,27141
44582,Minnesota,MN,Sibley,27143
44585,Minnesota,MN,Stearns,27145
44588,Minnesota,MN,Steele,27147
44591,Minnesota,MN,Stevens,27149
44594,Minnesota,MN,Swift,27151
44597,Minnesota,MN,Todd,27153
44600,Minnesota,MN,Traverse,27155
44603,Minnesota,MN,Wabasha,27157
44606,Minnesota,MN,Wadena,27159
44609,Minnesota,MN,Waseca,27161
44612,Minnesota,MN,Washington,27163
44615,Minnesota,MN,Watonwan,27165
44618,Minnesota,MN,Wilkin,27167
44621,Minnesota,MN,Winona,27169
44624,Minnesota,MN,Wright,27171
44627,Minnesota,MN,Yellow Medicine,27173
44630,Mississippi,MS,Adams,28001
44633,Mississippi,MS,Alcorn,28003
44636,Mississippi,MS,Amite,28005
44639,Mississippi,MS,Attala,28007
44642,Mississippi,MS,Benton,28009
44645,Mississippi,MS,Bolivar,28011
44648,Mississippi,MS,Calhoun,28013
44651,Mississippi,MS,Carroll,28015
44654,Mississippi,MS,Chickasaw,28017
44657,Mississippi,MS,Choctaw,28019
44660,Mississippi,MS,Claiborne,28021
44663,Mississippi,MS,Clarke,28023
44666,Mississippi,MS,Clay,28025
44669,Mississippi,MS,Coahoma,28027
44672,Mississippi,MS,Copiah,28029
44675,Mississippi,MS,Covington,28031
44678,Mississippi,MS,DeSoto,28033
44681,Mississippi,MS,Forrest,28035
44684,Mississippi,MS,Franklin,28037
44687,Mississippi,MS,George,28039
44690,Mississippi,MS,Greene,28041
44693,Mississippi,MS,Grenada,28043
44696,Mississippi,MS,Hancock,28045
44699,Mississippi,MS,Harrison,28047
44702,Mississippi,MS,Hinds,28049
44705,Mississippi,MS,Holmes,28051
44708,Mississippi,MS,Humphreys,28053
44711,Mississippi,MS,Issaquena,28055
44714,Mississippi,MS,Itawamba,28057
44717,Mississippi,MS,Jackson,28059
44720,Mississippi,MS,Jasper,28061
44723,Mississippi,MS,Jefferson,28063
44726,Mississippi,MS,Jefferson Davis,28065
44729,Mississippi,MS,Jones,28067
44732,Mississippi,MS,Kemper,28069
44735,Mississippi,MS,Lafayette,28071
44738,Mississippi,MS,Lamar,28073
44741,Mississippi,MS,Lauderdale,28075
44744,Mississippi,MS,Lawrence,28077
44747,Mississippi,MS,Leake,28079
44750,Mississippi,MS,Lee,28081
44753,Mississippi,MS,Leflore,28083
44756,Mississippi,MS,Lincoln,28085
44759,Mississippi,MS,Lowndes,28087
44762,Mississippi,MS,Madison,28089
44765,Mississippi,MS,Marion,28091
44768,Mississippi,MS,Marshall,28093
44771,Mississippi,MS,Monroe,28095
44774,Mississippi,MS,Montgomery,28097
44777,Mississippi,MS,Neshoba,28099
44780,Mississippi,MS,Newton,28101
44783,Mississippi,MS,Noxubee,28103
44786,Mississippi,MS,Oktibbeha,28105
44789,Mississippi,MS,Panola,28107
44792,Mississippi,MS,Pearl River,28109
44795,Mississippi,MS,Perry,28111
44798,Mississippi,MS,Pike,28113
44801,Mississippi,MS,Pontotoc,28115
44804,Mississippi,MS,Prentiss,28117
44807,Mississippi,MS,Quitman,28119
44810,Mississippi,MS,Rankin,28121
44813,Mississippi,MS,Scott,28123
44816,Mississippi,MS,Sharkey,28125
44819,Mississippi,MS,Simpson,28127
44822,Mississippi,MS,Smith,28129
44825,Mississippi,MS,Stone,28131
44828,Mississippi,MS,Sunflower,28133
44831,Mississippi,MS,Tallahatchie,28135
44834,Mississippi,MS,Tate,28137
44837,Mississippi,MS,Tippah,28139
44840,Mississippi,MS,Tishomingo,28141
44843,Mississippi,MS,Tunica,28143
44846,Mississippi,MS,Union,28145
44849,Mississippi,MS,Walthall,28147
44852,Mississippi,MS,Warren,28149
44855,Mississippi,MS,Washington,28151
44858,Mississippi,MS,Wayne,28153
