year,state,state_abbr,county,D_candidate_votes,R_candidate_votes,totalvotes,percent_republican,percent_democrat,%difference(d_favor),FIPS
2016,Alabama,AL,Crenshaw,1664,4513,6267,72.01212701,26.55177916,-45.46034785,1041
2016,Alabama,AL,Cullman,3798,32989,37873,87.10426953,10.02825232,-77.07601722,1043
2016,Alabama,AL,Dale,4413,13808,18749,73.64659449,23.53725532,-50.10933916,1045
2016,Alabama,AL,Dallas,12836,5789,18792,30.80566198,68.30566198,37.5,1047
2016,Alabama,AL,DeKalb,3622,21405,25826,82.88159219,14.02462635,-68.85696585,1049
2016,Alabama,AL,Elmore,8443,27634,37260,74.16532475,22.65968867,-51.50563607,1051
2016,Alabama,AL,Escambia,4605,9935,14845,66.92489054,31.02054564,-35.9043449,1053
2016,Alabama,AL,Etowah,10442,32353,44164,73.25649851,23.64369169,-49.61280681,1055
2016,Alabama,AL,Fayette,1362,6712,8249,81.36743848,16.51109225,-64.85634622,1057
2016,Alabama,AL,Franklin,2197,9466,12040,78.62126246,18.24750831,-60.37375415,1059
2016,Alabama,AL,Geneva,1525,9994,11758,84.99744855,12.96989284,-72.02755571,1061
2016,Alabama,AL,Greene,4013,838,4880,17.17213115,82.23360656,65.06147541,1063
2016,Alabama,AL,Hale,4775,3173,8040,39.46517413,59.39054726,19.92537313,1065
2016,Alabama,AL,Henry,2292,5632,8072,69.77205154,28.39444995,-41.37760159,1067
2016,Alabama,AL,Houston,10664,30728,42639,72.06547996,25.0099674,-47.05551256,1069
2016,Alabama,AL,Jackson,3673,16672,20984,79.45101029,17.50381243,-61.94719787,1071
2016,Alabama,AL,Jefferson,156873,134768,304191,44.30374337,51.57055929,7.266815915,1073
2016,Alabama,AL,Lamar,1036,5823,6966,83.59173127,14.87223658,-68.71949469,1075
2016,Alabama,AL,Lauderdale,9952,27899,39525,70.58570525,25.17900063,-45.40670462,1077
2016,Alabama,AL,Lawrence,3627,10833,14829,73.05280194,24.45883067,-48.59397127,1079
2016,Alabama,AL,Lee,21230,34617,59191,58.48355324,35.86693923,-22.61661401,1081
2016,Alabama,AL,Limestone,9468,29067,40294,72.13729091,23.49729488,-48.63999603,1083
2016,Alabama,AL,Lowndes,4883,1751,6684,26.19688809,73.05505685,46.85816876,1085
2016,Alabama,AL,Macon,7566,1431,9140,15.65645514,82.77899344,67.12253829,1087
2016,Alabama,AL,Madison,62822,89520,163389,54.78949011,38.44934482,-16.3401453,1089
2016,Alabama,AL,Marengo,5615,5233,10994,47.59869019,51.07331272,3.474622521,1091
2016,Alabama,AL,Marion,1432,11274,12984,86.82994455,11.02895872,-75.80098583,1093
2016,Alabama,AL,Marshall,4917,29233,35316,82.77551252,13.92286782,-68.85264469,1095
2016,Alabama,AL,Mobile,72186,95116,172737,55.06405692,41.78954133,-13.27451559,1097
2016,Alabama,AL,Monroe,4332,5795,10271,56.42099114,42.17700321,-14.24398793,1099
2016,Alabama,AL,Montgomery,58916,34003,95878,35.46486159,61.44892468,25.98406308,1101
